Chapter,Media Link,Media Credit,Media Credit Link,Description
CopenHill,media/copenhill-big-architecture-power-plant-infrastructure-copenhagen-denmark-_dezeen_2364_col_6-852x609.jpg,Source: Dezeen,https://assets.newatlas.com/dims4/default/44a065e/2147483647/strip/true/crop/1429x1019+0+0/resize/2692x1920!/format/webp/quality/90/?url=http%3A%2F%2Fnewatlas-brightspot.s3.amazonaws.com%2F6a%2Fb9%2F7a05275b4c569259ef6bcfc3be01%2Fblobid21-1570194419906.jpg,"BIG has completed the ""cleanest waste-to-energy power plant in the world"" in Copenhagen, Denmark, which is topped by an artificial ski slope that is open all year round.

CopenHill, also known as Amager Bakke, is a power plant located on an industrial waterfront that is capable of converting 440,000 tons of waste into clean energy annually.

It was designed by BIG to double as public infrastructure, and is complete with tree-lined hiking trails and ski slopes on its roof along with the ""tallest artificial climbing wall in the world"" on its facade."
Daxing International Airport,media/Daxing International Airport.jpg,Source: The Blue Swan Daily,https://cdn.blueswandaily.com//2019/01/Beijing.jpg,"The terminal building is one of the largest single-structure airport terminals in the world, with an area of more than 700,000 m2 (7,500,000 sq ft). It was completed on June 30, 2019. The opening ceremony for the airport was held on September 25, 2019, and the airport opened to the public on September 26, 2019. https://en.wikipedia.org/wiki/Beijing_Daxing_International_Airport"
 Raffles City Chongqing,media/raffles-city-chongqing-the-crystal-completes-safdie-architects-capitaland-hero-852x479.jpg,Source: CNN Travel,https://cdn.cnn.com/cnnnext/dam/assets/200609162036-the-crystal-2-exterior-super-169.jpg,"Designed by Moshe Safdie, the mastermind behind Singapore's awe-inspiring Changi Jewel, the 250-meter-tall sky bridge is the highest of its kind.
Dubbed a horizontal skyscraper, it stretches 350 meters across four of the eight skyscrapers that make up Raffles City Chongqing, a multi-use riverside complex in the southwest China megacity. Aerial walkways also connect it to two more skyscrapers.
The Crystal recently unveiled its first attraction to the public: The Exploration Deck. "
Shimao Wonderland Intercontinental Hotel,https://www.youtube.com/embed/yIqTfs8xuq0?controls=0,Source: YouTube,https://www.youtube.com/watch?v=yIqTfs8xuq0&t=21s,"The Shimao Wonderland Intercontinental (also known as the Songjiang Quarry Hotel)  is the world’s first five-star hotel built inside an underground, water-filled quarry. It has been successfully completed and opened to the public in November 2018 , it is also be one of the most eco-friendly places to stay in China.

Built into an abandoned quarry about 20 miles from Shanghai, the hotel includes two underwater floors and a green rooftop that blends into the surrounding countryside. The unique design takes advantage of the location and natural elements such as the rocky cliffs, waterfalls, and surrounding hills. A glass waterfall atrium pours over the façade, where all 14 floors of above the water level rooms have balconies and views of the quarry. https://www.atlasobscura.com/places/shimao-wonderland-intercontinental"
Jewel Changi Airport,media/jewel-changi-airport-03-bydarrensoh-hero.jpg,Source: Architect Magazine,https://cdnassets.hw.net/9c/21/55ab1cb04f8989118fc166a581d9/jewel-changi-airport-03-bydarrensoh-hero.jpg,"Singapore's Jewel Changi Airport, by Safdie Architects, attempts to provide weary travelers with a more pleasant place to spend time than a typical airport. The impressive building features an indoor park with walking trails, a forest, and the world's largest indoor waterfall.

The waterfall is named the Rain Vortex and is in continuous use, helping to cool the interior. During thunderstorms, rainwater flows at over 10,000 gallons (37,854 liters) per minute, and when it's not raining a pump system keeps the water flowing. Rainwater is also used for building services and irrigation systems. "
Citic Tower,https://www.youtube.com/embed/4daPhDmbVqA?controls=0,Source: YouTube,https://www.youtube.com/watch?v=4daPhDmbVqA,"Create your own story map using the step-by-step tutorial in <a href=""http://datavizforall.org/leaflet/storymaps"" target=""_blank"">Data Visualization For All</a>, an open-access textbook created at Trinity College, Hartford CT. "
Under,media/under-snohetta-underwater-restaurant-architecture-public-leisure-baly-lindesnes-norway_dezeen_2364_col_4-852x568.jpg,Source: New Atlas,https://static.dezeen.com/uploads/2019/03/under-snohetta-underwater-restaurant-architecture-public-leisure-baly-lindesnes-norway_dezeen_2364_col_4-852x568.jpg,"Snøhetta has completed Under, the ""world's largest underwater restaurant"", which plunges from a craggy shoreline in the remote village of Båly, Norway.

Designed by Snøhetta to resemble a sunken periscope, the 495-square-metre restaurant is fronted by a huge panoramic window that gives visitors a view of marine life.

The building on Norway's southern coast, which can seat up to 40 people and will also be used as a marine research centre, is Europe's first underwater restaurant."
The Twist,media/Bjarke-Ingels-Twist-bridge-museum-Kistefos-art-park-Norway-05-1.jpg,Source: inexhibit,https://www.inexhibit.com/wp-content/uploads/2015/10/Bjarke-Ingels-Twist-bridge-museum-Kistefos-art-park-Norway-05-1.jpg,"The twisted shape of the building is not only visually appealing; it also skilfully connects the two riverbanks, which have different elevations. Furthermore, it creates a diverse array of spaces, with two floors, stacked on one another, in the southern part of the building and a single, floor-to-ceiling hall in the northern. The 1,400 square-meter (15,000 square-foot) building, along with accommodating exhibition galleries and service spaces, connects the two parts of the Kistefos sculpture park, which are currently linked only by a small wood bridge, and transforms the dead-end path across the open-air sculpture exhibition into a circular, continuous loop."
Powerhouse Brattørkaia,media/2011113_OS_N31.jpg,Source: Arch Daily,https://images.adsttc.com/media/images/5d70/e051/284d/d1d1/4a00/0367/large_jpg/2011113_OS_N31.jpg?1567678491,"Located in Trondheim, Norway, Powerhouse Brattørkaia, the world’s northernmost energy-positive building, designed by Snøhetta challenges the traditional notions of construction and puts in place new standards for buildings that produce more energy than they consume."
Leeza Soho,https://www.youtube.com/embed/HSj1mKvuZwc?controls=0,Source: YouTube,https://www.youtube.com/watch?v=HSj1mKvuZwc,"Text description provided by the architects. Located on Lize Road in southwest Beijing, Leeza SOHO tower anchors the new Fengtai business district - a growing financial and transport hub between the city centre and the recently opened Beijing Daxing International Airport to the south. The new business district is integral to Beijing’s multi-modal urban plan to accommodate growth without impacting existing infrastructure networks in the centre of the city."
